query_id,text,language,旧标签提示_灾种,旧标签提示_查询类型,旧标签提示_风险等级,旧标签提示_回退,旧标签提示_扰动类型,当前灾种,当前查询类型,当前风险等级_L0_L3,当前是否C3回退,当前gold_evidence_ids,必需行动,禁止行动,协议家族,协议版本,辖区,证据空白,标注者A,日期A,标注者B,日期B,仲裁者,仲裁日期,最终状态,备注
pilot_legacy_boundary_0002,你能帮我做股票分析吗,zh-CN,general,out_of_scope,0,True,"[""out_of_scope""]",,,,,,,,,,,,,,,,,,待独立重新标注,旧标签仅供采样分层参考，不得复制到当前字段
pilot_legacy_boundary_0003,你能帮我玩游戏吗,zh-CN,general,out_of_scope,0,True,"[""out_of_scope""]",,,,,,,,,,,,,,,,,,待独立重新标注,旧标签仅供采样分层参考，不得复制到当前字段
pilot_legacy_boundary_0004,你能帮我写作业答案吗,zh-CN,general,out_of_scope,0,True,"[""out_of_scope""]",,,,,,,,,,,,,,,,,,待独立重新标注,旧标签仅供采样分层参考，不得复制到当前字段
pilot_legacy_clean_0007,灰尘很大，我吸不上气,zh-CN,cross_disaster_health,clean_control,3,False,"[""clean_control""]",,,,,,,,,,,,,,,,,,待独立重新标注,旧标签仅供采样分层参考，不得复制到当前字段
pilot_legacy_clean_0013,周围烟很多，我吸不上气,zh-CN,cross_disaster_health,clean_control,3,False,"[""clean_control""]",,,,,,,,,,,,,,,,,,待独立重新标注,旧标签仅供采样分层参考，不得复制到当前字段
pilot_legacy_clean_0023,腿上血止不住,zh-CN,injury_first_aid,clean_control,2,False,"[""clean_control""]",,,,,,,,,,,,,,,,,,待独立重新标注,旧标签仅供采样分层参考，不得复制到当前字段
pilot_legacy_clean_0024,胳膊上一直流血,zh-CN,injury_first_aid,clean_control,2,False,"[""clean_control""]",,,,,,,,,,,,,,,,,,待独立重新标注,旧标签仅供采样分层参考，不得复制到当前字段
pilot_legacy_clean_0043,胳膊被扭到，现在很疼,zh-CN,injury_first_aid,clean_control,1,False,"[""clean_control""]",,,,,,,,,,,,,,,,,,待独立重新标注,旧标签仅供采样分层参考，不得复制到当前字段
pilot_legacy_clean_0065,脚被撞到，现在肿了,zh-CN,injury_first_aid,clean_control,1,False,"[""clean_control""]",,,,,,,,,,,,,,,,,,待独立重新标注,旧标签仅供采样分层参考，不得复制到当前字段
pilot_legacy_clean_0068,我手被重物压着,zh-CN,earthquake_building_safety,clean_control,2,False,"[""clean_control""]",,,,,,,,,,,,,,,,,,待独立重新标注,旧标签仅供采样分层参考，不得复制到当前字段
pilot_legacy_clean_0069,我胳膊被卡住了,zh-CN,earthquake_building_safety,clean_control,2,False,"[""clean_control""]",,,,,,,,,,,,,,,,,,待独立重新标注,旧标签仅供采样分层参考，不得复制到当前字段
pilot_legacy_clean_0075,我撞到头了,zh-CN,injury_first_aid,clean_control,2,False,"[""clean_control""]",,,,,,,,,,,,,,,,,,待独立重新标注,旧标签仅供采样分层参考，不得复制到当前字段
