source_id,标题,文件SHA256已核验,版本与生效状态已核验,辖区与适用人群已核验,许可证已核验,允许进入检索的章节或页码,必须排除的章节或页码,专业操作边界已核验,与其他来源的冲突,审查者A,审查日期A,审查者B,审查日期B,仲裁者,最终状态,备注
WHO_ICRC_BEC_2018,WHO-ICRC Basic Emergency Care: approach to the acutely ill and injured,是,待完整核验,已按登记与章节用途初核,待核验,,整本暂不进入公众直接检索,面向受训医务人员且PDF提取存在替换字符；仅保留为专业标注参考,,审查者A,2026-07-27,审查者B,2026-07-27,项目仲裁,excluded_from_direct_retrieval,只批准登记的派生范围；原始来源整体仍为draft，正式入库前需许可证和版本冻结。
WHO_PFA_2011,Psychological first aid: Guide for field workers,是,待完整核验,已按登记与章节用途初核,待核验,,整本暂不进入公众直接检索,当前为英文版本；在取得并核验WHO官方中文版本前不进入中文BM25直接检索,,审查者A,2026-07-27,审查者B,2026-07-27,项目仲裁,excluded_from_direct_retrieval,只批准登记的派生范围；原始来源整体仍为draft，正式入库前需许可证和版本冻结。
NHC_HEALTH_LITERACY_2024,中国公民健康素养——基本知识与技能释义（2024年版）,是,来源页与版本初核通过，待正式冻结,已按登记与章节用途初核,待核验,PDF页码：49、50、51、52、53、54、55、56,除登记允许范围外的全部章节或页码,覆盖120急救、CPR/AED、创伤出血、骨折、烧烫伤、火灾、地震和洪涝；第49页从第58条开始，排除前文体温与血压测量内容；重点复核词：掐人中、按压人中、止血带、腹部冲击法、心肺复苏,具体动作优先服从更专门、更新且适用对象一致的来源,审查者A,2026-07-27,审查者B,2026-07-27,项目仲裁,adjudicated,只批准登记的派生范围；原始来源整体仍为draft，正式入库前需许可证和版本冻结。
MEM_EARTHQUAKE_SAFETY_2025,应急管理部、中国地震局“人人讲安全、个个会应急”安全知识发布会文字实录,是,来源页与版本初核通过，待正式冻结,已按登记与章节用途初核,待核验,网页章节：earthquake_warning_action、earthquake_shelter_preparation,除登记允许范围外的全部章节或页码,只保留公众预警行动与避难准备，避开待医学复核的被困饮水建议,与医疗急救来源分工：本来源负责避险和被困，不替代临床处置,审查者A,2026-07-27,审查者B,2026-07-27,项目仲裁,adjudicated,只批准登记的派生范围；原始来源整体仍为draft，正式入库前需许可证和版本冻结。
MEM_FLOOD_SAFETY_2025,国家防灾减灾救灾委员会办公室、应急管理部汛期安全知识发布会文字实录,是,来源页与版本初核通过，待正式冻结,已按登记与章节用途初核,待核验,网页章节：flood_warning_escape,除登记允许范围外的全部章节或页码,保留预警识别、山洪逃生和地质灾害征兆，排除后续专业水域交通与救援讨论；重点复核词：向岸边游动、固定身体,不得把洪水逃生动作迁移到地震或火灾被困,审查者A,2026-07-27,审查者B,2026-07-27,项目仲裁,adjudicated,只批准登记的派生范围；原始来源整体仍为draft，正式入库前需许可证和版本冻结。
MEM_HIGHRISE_FIRE_ORDER5,高层民用建筑消防安全管理规定,是,来源页与版本初核通过，待正式冻结,已按登记与章节用途初核,待核验,PDF页码：10、11、12、13、14、15、16、17、18、19、20,除登记允许范围外的全部章节或页码,用于消防设施、疏散、避难层、防火门和报警约束，不作为完整逃生答案；重点复核词：逃生绳、缓降器、灭火器,,审查者A,2026-07-27,审查者B,2026-07-27,项目仲裁,adjudicated,只批准登记的派生范围；原始来源整体仍为draft，正式入库前需许可证和版本冻结。
CMA_WARNING_SIGNALS_ORDER16,气象灾害预警信号发布与传播办法及防御指南,是,来源页与版本初核通过，待正式冻结,已按登记与章节用途初核,待核验,PDF页码：7、8、9、10、12、13、14、15、20、21、22、23、24、25、31、32、33,除登记允许范围外的全部章节或页码,保留暴雨、寒潮、高温、雷电和道路结冰预警防御页；使用时仍需核对属地阈值；重点复核词：地方、阈值,属地现行阈值优先于全国公开旧版文本,审查者A,2026-07-27,审查者B,2026-07-27,项目仲裁,adjudicated,只批准登记的派生范围；原始来源整体仍为draft，正式入库前需许可证和版本冻结。
SHQP_HEAD_TRAUMA_2018,事故后颅脑外伤者的急救措施有哪些？,是,来源页与版本初核通过，待正式冻结,已按登记与章节用途初核,待核验,网页章节：head_injury_assess_call_no_move、head_scalp_bleeding、head_injury_red_flags,除登记允许范围外的全部章节或页码,只保留伤情观察、120呼救、避免随意搬动、头皮止血注意和危险征象；排除开放气道手法与医疗转运段落；重点复核词：人工呼吸、心脏按摩、头向后仰、脑脊液,头伤处置优先于地震预防性保护头部条款,审查者A,2026-07-27,审查者B,2026-07-27,项目仲裁,adjudicated,只批准登记的派生范围；原始来源整体仍为draft，正式入库前需许可证和版本冻结。
BJWJW_HYPOTHERMIA_2022,每周急救话题：低温症的急救,是,来源页与版本初核通过，待正式冻结,已按登记与章节用途初核,待核验,网页章节：hypothermia_public_first_aid,除登记允许范围外的全部章节或页码,保留北京急救中心发布的公众低温症五步处置；饮水、主动加热和CPR表述需在双审中核对意识、严重度和施救者能力条件；重点复核词：电热毯、暖水袋、温热的水、心肺复苏术,意识异常时不得机械执行饮水动作；严重度优先触发120,审查者A,2026-07-27,审查者B,2026-07-27,项目仲裁,adjudicated,只批准登记的派生范围；原始来源整体仍为draft，正式入库前需许可证和版本冻结。
BJWJW_CRUSH_INJURY_2019,每周急救话题：如果不幸被重物挤压到，如何处理,是,来源页与版本初核通过，待正式冻结,已按登记与章节用途初核,待核验,网页章节：crush_injury_public_response,除登记允许范围外的全部章节或页码,保留挤压伤识别、120联络和严重性提示；解除长期压迫等动作必须在双审中加专业救援约束；重点复核词：解除压迫、长时间被压迫、冷水冷敷、挤压综合征,持续重压的解除必须服从现场专业救援判断,审查者A,2026-07-27,审查者B,2026-07-27,项目仲裁,adjudicated,只批准登记的派生范围；原始来源整体仍为draft，正式入库前需许可证和版本冻结。
MEM_EARTHQUAKE_FIRST_AID_2019,地震救护知识,是,来源页与版本初核通过，待正式冻结,已按登记与章节用途初核,待核验,网页章节：earthquake_bleeding_fracture,除登记允许范围外的全部章节或页码,只保留开放性创伤止血、禁止现场复位、清洁覆盖和简单固定；排除糖盐水、扩容、尸体处置等不适合公众直接生成的段落；重点复核词：抬高患肢、简单固定,公众止血固定片段不得扩展为现场复位或专业治疗,审查者A,2026-07-27,审查者B,2026-07-27,项目仲裁,adjudicated,只批准登记的派生范围；原始来源整体仍为draft，正式入库前需许可证和版本冻结。
JINCHENG_HIGHRISE_FIRE_2026,住在高层的朋友，这份逃生指南请您收好！,是,来源页与版本初核通过，待正式冻结,已按登记与章节用途初核,待核验,网页章节：fire_alarm_low_posture_no_elevator、fire_evacuate_or_shelter、fire_trapped_wait_rescue,除登记允许范围外的全部章节或页码,保留报警、低姿撤离、禁乘电梯、分场景逃或守及被困待援，避免抽取一般隐患宣传和物资营销性内容；重点复核词：向房门泼水、避难层、楼顶,只适用于火灾，不能作为一般废墟被困证据,审查者A,2026-07-27,审查者B,2026-07-27,项目仲裁,adjudicated,只批准登记的派生范围；原始来源整体仍为draft，正式入库前需许可证和版本冻结。
NHC_PSYCHOLOGICAL_HOTLINE_2021,心理援助热线技术指南（试行）,是,来源页与版本初核通过，待正式冻结,已按登记与章节用途初核,待核验,PDF页码：6、7,除登记允许范围外的全部章节或页码,只保留热线技术要素中的倾听、反馈、沉默、稳定、聚焦与问题解决；该来源面向专业热线人员，不用于自动诊断或治疗；重点复核词：自杀、精神障碍、危机干预,支持性沟通可用；专业评估、诊疗和随访流程不得自动生成,审查者A,2026-07-27,审查者B,2026-07-27,项目仲裁,adjudicated,只批准登记的派生范围；原始来源整体仍为draft，正式入库前需许可证和版本冻结。
NHC_DISASTER_ENV_HEALTH_2019,自然灾害环境卫生应急技术指南（2019版）,是,来源页与版本初核通过，待正式冻结,已按登记与章节用途初核,待核验,PDF页码：7,除登记允许范围外的全部章节或页码,只保留面向灾区居民的饮用水安全健康教育，不抽取专业消毒剂量、检测和工程处置；重点复核词：消毒,只约束灾区水源安全，不给个体摄入量,审查者A,2026-07-27,审查者B,2026-07-27,项目仲裁,adjudicated,只批准登记的派生范围；原始来源整体仍为draft，正式入库前需许可证和版本冻结。
MEM_FLOOD_PREPAREDNESS_2026,“人人讲安全、个个会应急”汛期安全知识发布会,是,来源页与版本初核通过，待正式冻结,已按登记与章节用途初核,待核验,网页章节：three_outages_preparedness_communication,除登记允许范围外的全部章节或页码,保留断路断网断电情景的底数、路线、物资和多渠道通信准备，用于低电量与通信受限查询的边界证据；重点复核词：卫星电话、北斗短报文、充电宝,准备性通信建议不能替代实时医疗或救援优先级,审查者A,2026-07-27,审查者B,2026-07-27,项目仲裁,adjudicated,只批准登记的派生范围；原始来源整体仍为draft，正式入库前需许可证和版本冻结。
