source_id,标题,来源机构,来源页面,实际下载地址,本地SHA256,来源类型,正文中观察到的许可声明,许可证据URL,再分发决定,版本日期证据,允许范围,待完成核验,在线核验日期,官方页面HTTP状态,官方页面标题,官方页面Last-Modified,官方页面明确许可证据,镜像HTTP状态,镜像Last-Modified,镜像明确授权证据,在线核验结论,在线版本证据,版本状态,版本链结论,版本链证据URL,内部正式实验资格,使用依据类型,使用依据URL,正式库处置,公开再分发资格,公开再分发限制,镜像关系状态,镜像关系证据URL
WHO_ICRC_BEC_2018,WHO-ICRC Basic Emergency Care: approach to the acutely ill and injured,World Health Organization / International Committee of the Red Cross,https://www.who.int/publications/i/item/9789241513081,https://iris.who.int/server/api/core/bitstreams/63432b9f-8808-44c5-9692-cea717c0cbda/content,51e5000a8f268d67f28a8206e7b8a35ba7877bec0b45e28084970b074e00043e,international_publication,CC BY-NC-SA 3.0 IGO,https://iris.who.int/server/api/core/bitstreams/63432b9f-8808-44c5-9692-cea717c0cbda/content,conditional_noncommercial_attribution_sharealike,2018-10-30；官方出版页标题、日期、ISBN与本地PDF一致；PDF版权页（第4页）标明CC BY-NC-SA 3.0 IGO,不进入中文公众直接检索；仅保留标注参考,内部研究边界已冻结；公开复现包不得包含公开再分发资格=false来源的正文或派生切块。,2026-07-28,200,WHO-ICRC Basic Emergency Care: approach to the acutely ill and injured,"Tue, 28 Jul 2026 07:11:30 GMT",否,200,"Fri, 19 Sep 2025 01:05:15 GMT",否,页面可访问但未发现明确许可或再分发条款,"登记版本日期证据：登记版本=2018; 生效日期=2018-01-01; 仍需回到官方发布页核对；官方页面HTTP=200；官方Last-Modified=Tue, 28 Jul 2026 07:11:30 GMT；页面标题=WHO-ICRC Basic Emergency Care: approach to the acutely ill and injured；结论=页面可访问但未发现明确许可或再分发条款",verified_as_of_2026-07-28,2018-10-30；官方出版页标题、日期、ISBN与本地PDF一致；PDF版权页（第4页）标明CC BY-NC-SA 3.0 IGO,https://www.who.int/publications/i/item/9789241513081,true,explicit_cc_by_nc_sa_3_0_igo,https://creativecommons.org/licenses/by-nc-sa/3.0/igo/,reference_only_excluded_from_chinese_retrieval,true,仅非商业；署名；相同方式共享；不得使用WHO/ICRC标识；第三方材料另行核权,official_download_copy_no_separate_mirror_rights_needed,https://iris.who.int/server/api/core/bitstreams/63432b9f-8808-44c5-9692-cea717c0cbda/content
WHO_PFA_2011,Psychological first aid: Guide for field workers,World Health Organization,https://www.who.int/publications/i/item/9789241548205,https://iris.who.int/server/api/core/bitstreams/e7e129fb-b306-496d-84a5-67bb70abc130/content,9e688553fbacc1f7e1a0144e59c97585d384e09197d5044f4604725089b85089,international_publication,All rights reserved；复制或翻译须向WHO申请许可,https://iris.who.int/server/api/core/bitstreams/e7e129fb-b306-496d-84a5-67bb70abc130/content,cleared_for_metadata_only,2011-10-02；官方出版页标题、日期、ISBN与本地PDF一致；PDF版权页（第2页）为All rights reserved,不进入中文公众直接检索；仅保留标注参考,内部研究边界已冻结；公开复现包不得包含公开再分发资格=false来源的正文或派生切块。,2026-07-28,200,Psychological first aid: Guide for field workers,"Tue, 28 Jul 2026 07:12:16 GMT",否,200,"Fri, 19 Sep 2025 08:07:28 GMT",否,页面可访问但未发现明确许可或再分发条款,"登记版本日期证据：登记版本=2011; 生效日期=2011-01-01; 仍需回到官方发布页核对；官方页面HTTP=200；官方Last-Modified=Tue, 28 Jul 2026 07:12:16 GMT；页面标题=Psychological first aid: Guide for field workers；结论=页面可访问但未发现明确许可或再分发条款",verified_as_of_2026-07-28,2011-10-02；官方出版页标题、日期、ISBN与本地PDF一致；PDF版权页（第2页）为All rights reserved,https://www.who.int/publications/i/item/9789241548205,true,all_rights_reserved_metadata_reference_only,https://www.who.int/publications/i/item/9789241548205,metadata_only_excluded_from_direct_retrieval,false,2011版PDF版权页要求另行申请复制或翻译许可,official_download_copy_no_separate_mirror_rights_needed,https://iris.who.int/server/api/core/bitstreams/e7e129fb-b306-496d-84a5-67bb70abc130/content
NHC_HEALTH_LITERACY_2024,中国公民健康素养——基本知识与技能释义（2024年版）,中华人民共和国国家卫生健康委员会,https://www.nhc.gov.cn/xcs/c100122/202405/f251e896a50a49ff8c632b4b3da93126.shtml,https://www.nhc.gov.cn/xcs/c100122/202405/f251e896a50a49ff8c632b4b3da93126/files/1734001844015_12363.pdf,084cb6c696ae6ab08f1e2e238427b9c90b071d29c6e2c238016d9254a88464df,official_page_with_mirror,未在本地正文或登记页核验到明确许可声明,https://www.npc.gov.cn/c2/c30834/202011/t20201119_308796.html,cleared_for_local_research_only_no_redistribution,2008试行→2015版→2024征求意见稿→2024-05-30正式版；正式通知国卫办宣传函〔2024〕191号确认2024版替代2015版,仅进入登记的章节/页码派生候选,内部研究边界已冻结；公开复现包不得包含公开再分发资格=false来源的正文或派生切块。,2026-07-28,412,,,否,200,"Mon, 06 Jan 2025 02:11:30 GMT",否,官方页面访问受限或失败,登记版本日期证据：登记版本=2024; 生效日期=2024-05-30; 仍需回到官方发布页核对；官方页面HTTP=412；官方Last-Modified=未提供；页面标题=未获取；结论=官方页面访问受限或失败,verified_as_of_2026-07-28,2008试行→2015版→2024征求意见稿→2024-05-30正式版；正式通知国卫办宣传函〔2024〕191号确认2024版替代2015版,https://www.nhc.gov.cn/xcs/c100123/202405/73a4927142f34152abed875634a3c13b.shtml,true,copyright_law_article_24_6_local_scientific_research,https://www.npc.gov.cn/c2/c30834/202011/t20201119_308796.html,include_selected_excerpt_local_research_only,false,仅限本研究人员内部科学研究的少量摘录；必须署名；不得出版发行或公开协议正文/派生切块,official_download_copy_no_separate_mirror_rights_needed,https://www.nhc.gov.cn/xcs/c100122/202405/f251e896a50a49ff8c632b4b3da93126/files/1734001844015_12363.pdf
MEM_EARTHQUAKE_SAFETY_2025,应急管理部、中国地震局“人人讲安全、个个会应急”安全知识发布会文字实录,中华人民共和国应急管理部 / 中国地震局,https://www.mem.gov.cn/xw/xwfbh/2025n05y12xwfbh/,https://www.mem.gov.cn/xw/xwfbh/2025n05y12xwfbh/,426b7c570a69dd786e0fe9497dc521f8a885f3364414c281045df3df19ab2cbf,government_web_or_publication,未在本地正文或登记页核验到明确许可声明,https://www.npc.gov.cn/c2/c30834/202011/t20201119_308796.html,cleared_for_local_research_only_no_redistribution,2025-05-12单次新闻发布会文字实录；以发布日期、页面标题和本地SHA-256固定快照，不主张持续更新,仅进入登记的章节/页码派生候选,内部研究边界已冻结；公开复现包不得包含公开再分发资格=false来源的正文或派生切块。,2026-07-28,200,2025年5月12日新闻发布会--中华人民共和国应急管理部,"Sat, 18 Jul 2026 05:48:01 GMT",否,,,否,页面可访问但未发现明确许可或再分发条款,"登记版本日期证据：登记版本=2025-05-12; 生效日期=2025-05-12; 仍需回到官方发布页核对；官方页面HTTP=200；官方Last-Modified=Sat, 18 Jul 2026 05:48:01 GMT；页面标题=2025年5月12日新闻发布会--中华人民共和国应急管理部；结论=页面可访问但未发现明确许可或再分发条款",verified_as_of_2026-07-28,2025-05-12单次新闻发布会文字实录；以发布日期、页面标题和本地SHA-256固定快照，不主张持续更新,https://www.mem.gov.cn/xw/xwfbh/2025n05y12xwfbh/,true,copyright_law_article_24_6_local_scientific_research,https://www.npc.gov.cn/c2/c30834/202011/t20201119_308796.html,include_selected_excerpt_local_research_only,false,仅限本研究人员内部科学研究的少量摘录；必须署名；不得出版发行或公开协议正文/派生切块,not_applicable,
MEM_FLOOD_SAFETY_2025,国家防灾减灾救灾委员会办公室、应急管理部汛期安全知识发布会文字实录,国家防灾减灾救灾委员会办公室 / 中华人民共和国应急管理部,https://www.mem.gov.cn/xw/xwfbh/2025n08y05xwfbh/wzsl_4260/202508/t20250805_553395.shtml,https://www.mem.gov.cn/xw/xwfbh/2025n08y05xwfbh/wzsl_4260/202508/t20250805_553395.shtml,fdb01ffb4f0ed20bcbad902fc5ca3772e7a9025bcda4d44d3a5e609e451ab224,government_web_or_publication,未在本地正文或登记页核验到明确许可声明,https://www.npc.gov.cn/c2/c30834/202011/t20201119_308796.html,cleared_for_local_research_only_no_redistribution,2025-08-05单次汛期安全知识发布会文字实录；以发布日期、页面标题和本地SHA-256固定快照，不主张持续更新,仅进入登记的章节/页码派生候选,内部研究边界已冻结；公开复现包不得包含公开再分发资格=false来源的正文或派生切块。,2026-07-28,200,国家防灾减灾救灾委员会办公室、应急管理部举行汛期安全知识发布会--中华人民共和国应急管理部,"Tue, 05 Aug 2025 08:14:28 GMT",否,,,否,页面可访问但未发现明确许可或再分发条款,"登记版本日期证据：登记版本=2025-08-05; 生效日期=2025-08-05; 仍需回到官方发布页核对；官方页面HTTP=200；官方Last-Modified=Tue, 05 Aug 2025 08:14:28 GMT；页面标题=国家防灾减灾救灾委员会办公室、应急管理部举行汛期安全知识发布会--中华人民共和国应急管理部；结论=页面可访问但未发现明确许可或再分发条款",verified_as_of_2026-07-28,2025-08-05单次汛期安全知识发布会文字实录；以发布日期、页面标题和本地SHA-256固定快照，不主张持续更新,https://www.mem.gov.cn/xw/xwfbh/2025n08y05xwfbh/wzsl_4260/202508/t20250805_553395.shtml,true,copyright_law_article_24_6_local_scientific_research,https://www.npc.gov.cn/c2/c30834/202011/t20201119_308796.html,include_selected_excerpt_local_research_only,false,仅限本研究人员内部科学研究的少量摘录；必须署名；不得出版发行或公开协议正文/派生切块,not_applicable,
MEM_HIGHRISE_FIRE_ORDER5,高层民用建筑消防安全管理规定,中华人民共和国应急管理部,https://www.mem.gov.cn/gk/zfxxgkpt/fdzdgknr/gz11/202106/t20210621_405573.shtml,https://www.mem.gov.cn/gk/zfxxgkpt/fdzdgknr/gz11/202106/P020211228721655794602.pdf,73fb470f82da2afe28b2d31a85af37633603eb72866bb8e6fbeac31f66697436,official_page_with_mirror,未在本地正文或登记页核验到明确许可声明,https://www.npc.gov.cn/c2/c30834/202011/t20201119_308796.html,cleared_official_document_statutory_exclusion,应急管理部令第5号，2021-06-21公布，2021-08-01施行；官方政府信息公开页和PDF一致,仅进入登记的章节/页码派生候选,内部研究边界已冻结；公开复现包不得包含公开再分发资格=false来源的正文或派生切块。,2026-07-28,200,高层民用建筑消防安全管理规定--中华人民共和国应急管理部,"Thu, 08 Sep 2022 06:54:17 GMT",否,200,"Tue, 28 Dec 2021 13:26:43 GMT",否,页面可访问但未发现明确许可或再分发条款,"登记版本日期证据：登记版本=应急管理部令第5号; 生效日期=2021-08-01; 仍需回到官方发布页核对；官方页面HTTP=200；官方Last-Modified=Thu, 08 Sep 2022 06:54:17 GMT；页面标题=高层民用建筑消防安全管理规定--中华人民共和国应急管理部；结论=页面可访问但未发现明确许可或再分发条款",verified_as_of_2026-07-28,应急管理部令第5号，2021-06-21公布，2021-08-01施行；官方政府信息公开页和PDF一致,https://xxgk.mem.gov.cn/ezweb/ctrl/news/2106251518254PKfX9LNXY7sD3Mr5zJ,true,copyright_law_article_5_official_document_exclusion,https://www.npc.gov.cn/c2/c30834/202011/t20201119_308796.html,include_official_document_with_attribution,true,仅官方规章/命令正文；保留来源、文号、版本和有效状态；不含页面设计、图片和第三方材料,official_download_copy_no_separate_mirror_rights_needed,https://www.mem.gov.cn/gk/zfxxgkpt/fdzdgknr/gz11/202106/P020211228721655794602.pdf
CMA_WARNING_SIGNALS_ORDER16,气象灾害预警信号发布与传播办法及防御指南,中国气象局,https://www.cma.gov.cn/gzk/202005/W020220628619402421665.pdf,https://www.cma.gov.cn/gzk/202005/W020220628619402421665.pdf,9795ecb3cdc69935214dd3fbb164a6a1b78049c67496764abaf88501ed3cc810,government_web_or_publication,未在本地正文或登记页核验到明确许可声明,https://www.npc.gov.cn/c2/c30834/202011/t20201119_308796.html,cleared_official_document_statutory_exclusion,中国气象局令第16号，2007-06-12发布；官方规章页明确效用状态=有效,仅进入登记的章节/页码派生候选,内部研究边界已冻结；公开复现包不得包含公开再分发资格=false来源的正文或派生切块。,2026-07-28,200,,"Tue, 28 Jun 2022 09:12:31 GMT",否,,,否,页面可访问但未发现明确许可或再分发条款,"登记版本日期证据：登记版本=中国气象局令第16号公开文本; 生效日期=2007-06-12; 仍需回到官方发布页核对；官方页面HTTP=200；官方Last-Modified=Tue, 28 Jun 2022 09:12:31 GMT；页面标题=未获取；结论=页面可访问但未发现明确许可或再分发条款",verified_as_of_2026-07-28,中国气象局令第16号，2007-06-12发布；官方规章页明确效用状态=有效,https://www.cma.gov.cn/zfxxgk/gknr/flfgbz/gz/202005/t20200528_1694399.html,true,copyright_law_article_5_official_document_exclusion,https://www.npc.gov.cn/c2/c30834/202011/t20201119_308796.html,include_official_document_with_attribution,true,仅官方规章/命令正文；保留来源、文号、版本和有效状态；不含页面设计、图片和第三方材料,not_applicable,
SHQP_HEAD_TRAUMA_2018,事故后颅脑外伤者的急救措施有哪些？,上海市青浦区卫生健康委员会,https://www.shqp.gov.cn/wsjkw/jkbj/20180621/137365.html,https://www.shqp.gov.cn/wsjkw/jkbj/20180621/137365.html,62de6b40b022e80fcec022d3babeeb68d33a043cd6a12d51ddb8912716048375,government_web_or_publication,未在本地正文或登记页核验到明确许可声明,https://www.npc.gov.cn/c2/c30834/202011/t20201119_308796.html,cleared_for_local_research_only_no_redistribution,页面标注2018-05-29；作为静态历史科普快照使用，不得作为当前临床规范或唯一证据,仅进入登记的章节/页码派生候选,内部研究边界已冻结；公开复现包不得包含公开再分发资格=false来源的正文或派生切块。,2026-07-28,200,车祸导致颅脑外伤急救措施_健康保健_便民服务_特色专栏_卫健委_上海市青浦区人民政府,"Tue, 13 Aug 2024 12:54:49 GMT",否,,,否,页面可访问但未发现明确许可或再分发条款,"登记版本日期证据：登记版本=2018-06-21; 生效日期=2018-06-21; 仍需回到官方发布页核对；官方页面HTTP=200；官方Last-Modified=Tue, 13 Aug 2024 12:54:49 GMT；页面标题=车祸导致颅脑外伤急救措施_健康保健_便民服务_特色专栏_卫健委_上海市青浦区人民政府；结论=页面可访问但未发现明确许可或再分发条款",verified_as_of_2026-07-28,页面标注2018-05-29；作为静态历史科普快照使用，不得作为当前临床规范或唯一证据,https://www.shqp.gov.cn/wsjkw/jkbj/20180621/137365.html,true,copyright_law_article_24_6_local_scientific_research,https://www.npc.gov.cn/c2/c30834/202011/t20201119_308796.html,include_selected_excerpt_local_research_only,false,仅限本研究人员内部科学研究的少量摘录；必须署名；不得出版发行或公开协议正文/派生切块,not_applicable,
BJWJW_HYPOTHERMIA_2022,每周急救话题：低温症的急救,北京市卫生健康委员会（北京急救中心供稿）,https://wjw.beijing.gov.cn/bmfw_20143/jkzs/jzjj/202210/t20221024_2842615.html,https://wjw.beijing.gov.cn/bmfw_20143/jkzs/jzjj/202210/t20221024_2842615.html,41144e8a5b118ef4de9570478d66d25a2fa395ecb264e4d8cc5ad44081cf690d,government_web_or_publication,未在本地正文或登记页核验到明确许可声明,https://www.npc.gov.cn/c2/c30834/202011/t20201119_308796.html,cleared_for_local_research_only_no_redistribution,北京市卫生健康委页面标注2022-10-24、来源为北京市卫生健康委员会；作为静态科普快照使用,仅进入登记的章节/页码派生候选,内部研究边界已冻结；公开复现包不得包含公开再分发资格=false来源的正文或派生切块。,2026-07-28,200,每周急救话题：低温症的急救,,否,,,否,页面可访问但未发现明确许可或再分发条款,登记版本日期证据：登记版本=2022-10-24; 生效日期=2022-10-24; 仍需回到官方发布页核对；官方页面HTTP=200；官方Last-Modified=未提供；页面标题=每周急救话题：低温症的急救；结论=页面可访问但未发现明确许可或再分发条款,verified_as_of_2026-07-28,北京市卫生健康委页面标注2022-10-24、来源为北京市卫生健康委员会；作为静态科普快照使用,https://wjw.beijing.gov.cn/bmfw_20143/jkzs/jzjj/202210/t20221024_2842615.html,true,copyright_law_article_24_6_local_scientific_research,https://www.npc.gov.cn/c2/c30834/202011/t20201119_308796.html,include_selected_excerpt_local_research_only,false,仅限本研究人员内部科学研究的少量摘录；必须署名；不得出版发行或公开协议正文/派生切块,not_applicable,
BJWJW_CRUSH_INJURY_2019,每周急救话题：如果不幸被重物挤压到，如何处理,北京市卫生健康委员会（北京急救中心供稿）,https://wjw.beijing.gov.cn/bmfw_20143/jkzs/jzjj/201912/t20191217_1250605.html,https://wjw.beijing.gov.cn/bmfw_20143/jkzs/jzjj/201912/t20191217_1250605.html,4492c53f45cdab7b275f0b5b298fc63173e23821b2bc118620037fcc8f4465f3,government_web_or_publication,未在本地正文或登记页核验到明确许可声明,https://www.npc.gov.cn/c2/c30834/202011/t20201119_308796.html,cleared_for_local_research_only_no_redistribution,北京市卫生健康委页面固定发布日期；作为静态科普快照使用，不得外推为最新临床规范,仅进入登记的章节/页码派生候选,内部研究边界已冻结；公开复现包不得包含公开再分发资格=false来源的正文或派生切块。,2026-07-28,200,每周急救话题：如果不幸被重物挤压到，如何处理,,否,,,否,页面可访问但未发现明确许可或再分发条款,登记版本日期证据：登记版本=2019-08-17; 生效日期=2019-08-17; 仍需回到官方发布页核对；官方页面HTTP=200；官方Last-Modified=未提供；页面标题=每周急救话题：如果不幸被重物挤压到，如何处理；结论=页面可访问但未发现明确许可或再分发条款,verified_as_of_2026-07-28,北京市卫生健康委页面固定发布日期；作为静态科普快照使用，不得外推为最新临床规范,https://wjw.beijing.gov.cn/bmfw_20143/jkzs/jzjj/201912/t20191217_1250605.html,true,copyright_law_article_24_6_local_scientific_research,https://www.npc.gov.cn/c2/c30834/202011/t20201119_308796.html,include_selected_excerpt_local_research_only,false,仅限本研究人员内部科学研究的少量摘录；必须署名；不得出版发行或公开协议正文/派生切块,not_applicable,
