query_id,text,annotator_id,keep_for_pilot,disaster_type_final,query_type_final,risk_level_final,should_fallback_final,gold_evidence_ids_final,required_actions_final,prohibited_actions_final,source_group_id_final,decision_status,notes
pilot_legacy_boundary_0001,你能帮我写诗吗,,,,,,,,,,legacy_rair:case_clean_out_of_scope_001,unreviewed,
pilot_legacy_boundary_0002,你能帮我做股票分析吗,,,,,,,,,,legacy_rair:case_clean_out_of_scope_001,unreviewed,
pilot_legacy_boundary_0003,你能帮我玩游戏吗,,,,,,,,,,legacy_rair:case_clean_out_of_scope_001,unreviewed,
pilot_legacy_boundary_0004,你能帮我写作业答案吗,,,,,,,,,,legacy_rair:case_clean_out_of_scope_001,unreviewed,
pilot_legacy_clean_0005,灰尘很大，我喘不上气,,,,,,,,,,legacy_rair:case_clean_resp_002,unreviewed,
pilot_legacy_clean_0007,灰尘很大，我吸不上气,,,,,,,,,,legacy_rair:case_clean_resp_002,unreviewed,
pilot_legacy_clean_0013,周围烟很多，我吸不上气,,,,,,,,,,legacy_rair:case_clean_resp_002,unreviewed,
pilot_legacy_clean_0018,手上一直流血,,,,,,,,,,legacy_rair:case_clean_bleeding_002,unreviewed,
pilot_legacy_clean_0023,腿上血止不住,,,,,,,,,,legacy_rair:case_clean_bleeding_002,unreviewed,
pilot_legacy_clean_0024,胳膊上一直流血,,,,,,,,,,legacy_rair:case_clean_bleeding_002,unreviewed,
pilot_legacy_clean_0031,腿被砸到，现在很疼,,,,,,,,,,legacy_rair:case_clean_trauma_002,unreviewed,
pilot_legacy_clean_0043,胳膊被扭到，现在很疼,,,,,,,,,,legacy_rair:case_clean_trauma_002,unreviewed,
pilot_legacy_clean_0065,脚被撞到，现在肿了,,,,,,,,,,legacy_rair:case_clean_trauma_002,unreviewed,
pilot_legacy_clean_0067,我腿被压住了,,,,,,,,,,legacy_rair:case_clean_crush_001,unreviewed,
pilot_legacy_clean_0068,我手被重物压着,,,,,,,,,,legacy_rair:case_clean_crush_001,unreviewed,
pilot_legacy_clean_0069,我胳膊被卡住了,,,,,,,,,,legacy_rair:case_clean_crush_001,unreviewed,
pilot_legacy_clean_0071,重物压着我的手，已经有一会儿了,,,,,,,,,,legacy_rair:case_clean_crush_002,unreviewed,
pilot_legacy_clean_0074,我头晕想吐,,,,,,,,,,legacy_rair:case_clean_head_001,unreviewed,
pilot_legacy_clean_0075,我撞到头了,,,,,,,,,,legacy_rair:case_clean_head_001,unreviewed,
pilot_legacy_clean_0078,头被砸到，现在很晕,,,,,,,,,,legacy_rair:case_clean_head_002,unreviewed,
pilot_legacy_clean_0084,头被碰到，现在很晕,,,,,,,,,,legacy_rair:case_clean_head_002,unreviewed,
pilot_legacy_clean_0092,这里很冷，我浑身很冷,,,,,,,,,,legacy_rair:case_clean_hypothermia_002,unreviewed,
pilot_legacy_clean_0095,这里有冷风，我浑身很冷,,,,,,,,,,legacy_rair:case_clean_hypothermia_002,unreviewed,
pilot_legacy_clean_0097,这里地上都是水，我一直发抖,,,,,,,,,,legacy_rair:case_clean_hypothermia_002,unreviewed,
pilot_legacy_clean_0102,我现在很想哭,,,,,,,,,,legacy_rair:case_clean_panic_001,unreviewed,
pilot_legacy_clean_0104,我很害怕，不知道该怎么办,,,,,,,,,,legacy_rair:case_clean_panic_002,unreviewed,
pilot_legacy_clean_0106,我快崩溃了，不知道该怎么办,,,,,,,,,,legacy_rair:case_clean_panic_002,unreviewed,
pilot_legacy_clean_0109,我出不去,,,,,,,,,,legacy_rair:case_clean_trapped_001,unreviewed,
pilot_legacy_clean_0124,又有余震,,,,,,,,,,legacy_rair:case_clean_aftershock_001,unreviewed,
pilot_legacy_clean_0125,墙还在裂,,,,,,,,,,legacy_rair:case_clean_aftershock_001,unreviewed,
pilot_legacy_clean_0128,刚停下来又开始晃了,,,,,,,,,,legacy_rair:case_clean_aftershock_002,unreviewed,
pilot_legacy_clean_0129,刚停下来又有东西掉下来,,,,,,,,,,legacy_rair:case_clean_aftershock_002,unreviewed,
pilot_legacy_clean_0132,我没水,,,,,,,,,,legacy_rair:case_clean_dehydration_001,unreviewed,
pilot_legacy_clean_0133,我没吃的,,,,,,,,,,legacy_rair:case_clean_dehydration_001,unreviewed,
pilot_legacy_clean_0134,我嘴很干没水,,,,,,,,,,legacy_rair:case_clean_dehydration_001,unreviewed,
pilot_legacy_clean_0137,我被困很久了，很渴,,,,,,,,,,legacy_rair:case_clean_dehydration_002,unreviewed,
pilot_legacy_clean_0138,我被困很久了，没力气,,,,,,,,,,legacy_rair:case_clean_dehydration_002,unreviewed,
pilot_legacy_clean_0139,手机快没电了,,,,,,,,,,legacy_rair:case_clean_low_battery_001,unreviewed,
pilot_legacy_clean_0140,手机电量很低,,,,,,,,,,legacy_rair:case_clean_low_battery_001,unreviewed,
pilot_legacy_clean_0141,手机快关机了,,,,,,,,,,legacy_rair:case_clean_low_battery_001,unreviewed,
pilot_legacy_multi_0031,灰尘很大，我吸不上气，手机快没电了,,,,,,,,,,legacy_rair:case_multi_resp_battery_004,unreviewed,
pilot_legacy_multi_0043,周围很闷，我呼吸困难，手机快没电了,,,,,,,,,,legacy_rair:case_multi_resp_battery_004,unreviewed,
pilot_legacy_multi_0044,周围很闷，我呼吸困难，手机只剩一点电,,,,,,,,,,legacy_rair:case_multi_resp_battery_004,unreviewed,
pilot_legacy_multi_0064,我很害怕，因为伤口一直流血,,,,,,,,,,legacy_rair:case_multi_bleeding_panic_002,unreviewed,
pilot_legacy_multi_0075,手上血止不住，我脑子很乱,,,,,,,,,,legacy_rair:case_multi_bleeding_panic_003,unreviewed,
pilot_legacy_multi_0107,重物压着肚子，我吸不上气,,,,,,,,,,legacy_rair:case_multi_crush_resp_002,unreviewed,
pilot_legacy_multi_0158,我在废墟里被困住，现在发抖,,,,,,,,,,legacy_rair:case_multi_hypothermia_trapped_003,unreviewed,
