query_id,text,灾种,查询类型,风险等级_L0_L3,是否C3回退,gold_evidence_ids,必需行动,禁止行动,source_group_id,证据空白,预期域外空白,标注状态,标注版本,正式训练资格,备注
pilot_legacy_boundary_0002,你能帮我做股票分析吗,general,out_of_scope,0,true,[],"[""补充地点、对象、现场危险和可用资源后再决定行动""]",[],pilot_legacy_boundary_0002,false,true,adjudicated,expansion96-review-v0.1,false,预审结果；协议许可、版本和专家复核完成前不得进入正式数据
pilot_legacy_boundary_0003,你能帮我玩游戏吗,general,out_of_scope,0,true,[],"[""补充地点、对象、现场危险和可用资源后再决定行动""]",[],pilot_legacy_boundary_0003,false,true,adjudicated,expansion96-review-v0.1,false,预审结果；协议许可、版本和专家复核完成前不得进入正式数据
pilot_legacy_boundary_0004,你能帮我写作业答案吗,general,out_of_scope,0,true,[],"[""补充地点、对象、现场危险和可用资源后再决定行动""]",[],pilot_legacy_boundary_0004,false,true,adjudicated,expansion96-review-v0.1,false,预审结果；协议许可、版本和专家复核完成前不得进入正式数据
pilot_legacy_clean_0007,灰尘很大，我吸不上气,cross_disaster_health,clean_control,3,false,"[""NHC_HEALTH_LITERACY_2024_CURATED_V01_p049_001"", ""SHQP_HEAD_TRAUMA_2018_CURATED_V01_head_injury_assess_call_no_move_001""]","[""补充地点、对象、现场危险和可用资源后再决定行动""]",[],pilot_legacy_clean_0007,false,false,adjudicated,expansion96-review-v0.1,false,预审结果；协议许可、版本和专家复核完成前不得进入正式数据
pilot_legacy_clean_0013,周围烟很多，我吸不上气,cross_disaster_health,clean_control,3,false,"[""NHC_HEALTH_LITERACY_2024_CURATED_V01_p049_001"", ""SHQP_HEAD_TRAUMA_2018_CURATED_V01_head_injury_assess_call_no_move_001""]","[""补充地点、对象、现场危险和可用资源后再决定行动""]",[],pilot_legacy_clean_0013,false,false,adjudicated,expansion96-review-v0.1,false,预审结果；协议许可、版本和专家复核完成前不得进入正式数据
pilot_legacy_clean_0023,腿上血止不住,injury_first_aid,clean_control,2,false,"[""NHC_HEALTH_LITERACY_2024_CURATED_V01_p049_001"", ""SHQP_HEAD_TRAUMA_2018_CURATED_V01_head_injury_assess_call_no_move_001""]","[""对出血部位持续直接压迫止血"", ""严重或持续出血时拨打120""]","[""不要反复揭开敷料查看出血""]",pilot_legacy_clean_0023,false,false,adjudicated,expansion96-review-v0.1,false,预审结果；协议许可、版本和专家复核完成前不得进入正式数据
pilot_legacy_clean_0024,胳膊上一直流血,injury_first_aid,clean_control,2,false,"[""NHC_HEALTH_LITERACY_2024_CURATED_V01_p049_001"", ""SHQP_HEAD_TRAUMA_2018_CURATED_V01_head_injury_assess_call_no_move_001""]","[""对出血部位持续直接压迫止血"", ""严重或持续出血时拨打120""]","[""不要反复揭开敷料查看出血""]",pilot_legacy_clean_0024,false,false,adjudicated,expansion96-review-v0.1,false,预审结果；协议许可、版本和专家复核完成前不得进入正式数据
pilot_legacy_clean_0043,胳膊被扭到，现在很疼,injury_first_aid,clean_control,1,false,"[""NHC_HEALTH_LITERACY_2024_CURATED_V01_p049_001"", ""SHQP_HEAD_TRAUMA_2018_CURATED_V01_head_injury_assess_call_no_move_001""]","[""补充地点、对象、现场危险和可用资源后再决定行动""]",[],pilot_legacy_clean_0043,false,false,adjudicated,expansion96-review-v0.1,false,预审结果；协议许可、版本和专家复核完成前不得进入正式数据
pilot_legacy_clean_0065,脚被撞到，现在肿了,injury_first_aid,clean_control,1,false,"[""NHC_HEALTH_LITERACY_2024_CURATED_V01_p049_001"", ""SHQP_HEAD_TRAUMA_2018_CURATED_V01_head_injury_assess_call_no_move_001""]","[""补充地点、对象、现场危险和可用资源后再决定行动""]",[],pilot_legacy_clean_0065,false,false,adjudicated,expansion96-review-v0.1,false,预审结果；协议许可、版本和专家复核完成前不得进入正式数据
pilot_legacy_clean_0068,我手被重物压着,earthquake_building_safety,clean_control,2,false,"[""MEM_EARTHQUAKE_SAFETY_2025_CURATED_V01_earthquake_warning_action_001"", ""NHC_HEALTH_LITERACY_2024_CURATED_V01_p049_001""]","[""优先确认现场是否仍有坠落或坍塌危险"", ""通过电话或替代方式求救""]","[""不要在未确认安全时盲目搬移重物或返回危险区域""]",pilot_legacy_clean_0068,false,false,adjudicated,expansion96-review-v0.1,false,预审结果；协议许可、版本和专家复核完成前不得进入正式数据
