query_id,query_text,source_group_id,reviewer_A_L0_L3,reviewer_A_should_fallback,reviewer_A_evidence_ids,reviewer_A_notes,reviewer_B_L0_L3,reviewer_B_should_fallback,reviewer_B_evidence_ids,reviewer_B_notes,adjudicated_L0_L3,adjudicated_should_fallback,adjudicated_evidence_ids,adjudicated_required_actions,adjudicated_prohibited_actions,adjudication_notes,formal_training_eligible,annotation_status,data_status,final_evaluation_eligible,evidence_gap_flag,annotation_version,evidence_binding_status,disaster_type_label,query_type_label,split_scope
formal_exp_0001,同伴突然倒地，呼叫没有反应而且没有正常呼吸，现在应该先做什么？,cardiac_arrest_no_breathing|NHC_HEALTH_LITERACY_2024|2024+curated-v0.1,L3,false,NHC_HEALTH_LITERACY_2024_CURATED_V01_p051_001|NHC_HEALTH_LITERACY_2024_CURATED_V01_p051_002,按场景线索和协议适用范围审查：cardiac_arrest_no_breathing,L3,false,NHC_HEALTH_LITERACY_2024_CURATED_V01_p051_001|NHC_HEALTH_LITERACY_2024_CURATED_V01_p051_002,按场景线索和协议适用范围审查：cardiac_arrest_no_breathing,L3,false,NHC_HEALTH_LITERACY_2024_CURATED_V01_p051_001|NHC_HEALTH_LITERACY_2024_CURATED_V01_p051_002,立即呼叫120并请人取AED|确认无正常呼吸后按协议开始心肺复苏,不要因等待网络恢复而延误呼救和复苏,按直接危险、证据适用性、信息充分性和回退边界仲裁,false,adjudicated,development_gold,false,false,formal400-v1.1,adjudicated,综合/不明,呼吸困难,development
formal_exp_0002,有人昏倒后不回应，胸口也看不到正常起伏，请给我最先执行的两步。,cardiac_arrest_no_breathing|NHC_HEALTH_LITERACY_2024|2024+curated-v0.1,L3,false,NHC_HEALTH_LITERACY_2024_CURATED_V01_p051_001|NHC_HEALTH_LITERACY_2024_CURATED_V01_p051_002,按场景线索和协议适用范围审查：cardiac_arrest_no_breathing,L3,false,NHC_HEALTH_LITERACY_2024_CURATED_V01_p051_001|NHC_HEALTH_LITERACY_2024_CURATED_V01_p051_002,按场景线索和协议适用范围审查：cardiac_arrest_no_breathing,L3,false,NHC_HEALTH_LITERACY_2024_CURATED_V01_p051_001|NHC_HEALTH_LITERACY_2024_CURATED_V01_p051_002,立即呼叫120并请人取AED|确认无正常呼吸后按协议开始心肺复苏,不要因等待网络恢复而延误呼救和复苏,按直接危险、证据适用性、信息充分性和回退边界仲裁,false,adjudicated,development_gold,false,false,formal400-v1.1,adjudicated,综合/不明,呼吸困难,development
formal_exp_0003,同伴突然倒地，呼叫没有反应而且没有正常呼吸，手机网络很差，我该怎么处理？,cardiac_arrest_no_breathing|NHC_HEALTH_LITERACY_2024|2024+curated-v0.1,L3,false,NHC_HEALTH_LITERACY_2024_CURATED_V01_p051_001|NHC_HEALTH_LITERACY_2024_CURATED_V01_p051_002,按场景线索和协议适用范围审查：cardiac_arrest_no_breathing,L3,false,NHC_HEALTH_LITERACY_2024_CURATED_V01_p051_001|NHC_HEALTH_LITERACY_2024_CURATED_V01_p051_002,按场景线索和协议适用范围审查：cardiac_arrest_no_breathing,L3,false,NHC_HEALTH_LITERACY_2024_CURATED_V01_p051_001|NHC_HEALTH_LITERACY_2024_CURATED_V01_p051_002,立即呼叫120并请人取AED|确认无正常呼吸后按协议开始心肺复苏,不要因等待网络恢复而延误呼救和复苏,按直接危险、证据适用性、信息充分性和回退边界仲裁,false,adjudicated,development_gold,false,false,formal400-v1.1,adjudicated,综合/不明,呼吸困难,development
formal_exp_0004,有人昏倒后不回应，胸口也看不到正常起伏，现场只有普通人能帮忙，先做什么？,cardiac_arrest_no_breathing|NHC_HEALTH_LITERACY_2024|2024+curated-v0.1,L3,false,NHC_HEALTH_LITERACY_2024_CURATED_V01_p051_001|NHC_HEALTH_LITERACY_2024_CURATED_V01_p051_002,按场景线索和协议适用范围审查：cardiac_arrest_no_breathing,L3,false,NHC_HEALTH_LITERACY_2024_CURATED_V01_p051_001|NHC_HEALTH_LITERACY_2024_CURATED_V01_p051_002,按场景线索和协议适用范围审查：cardiac_arrest_no_breathing,L3,false,NHC_HEALTH_LITERACY_2024_CURATED_V01_p051_001|NHC_HEALTH_LITERACY_2024_CURATED_V01_p051_002,立即呼叫120并请人取AED|确认无正常呼吸后按协议开始心肺复苏,不要因等待网络恢复而延误呼救和复苏,按直接危险、证据适用性、信息充分性和回退边界仲裁,false,adjudicated,development_gold,false,false,formal400-v1.1,adjudicated,综合/不明,呼吸困难,development
formal_exp_0005,同伴突然倒地，呼叫没有反应而且没有正常呼吸，请按紧急程度告诉我行动顺序。,cardiac_arrest_no_breathing|NHC_HEALTH_LITERACY_2024|2024+curated-v0.1,L3,false,NHC_HEALTH_LITERACY_2024_CURATED_V01_p051_001|NHC_HEALTH_LITERACY_2024_CURATED_V01_p051_002,按场景线索和协议适用范围审查：cardiac_arrest_no_breathing,L3,false,NHC_HEALTH_LITERACY_2024_CURATED_V01_p051_001|NHC_HEALTH_LITERACY_2024_CURATED_V01_p051_002,按场景线索和协议适用范围审查：cardiac_arrest_no_breathing,L3,false,NHC_HEALTH_LITERACY_2024_CURATED_V01_p051_001|NHC_HEALTH_LITERACY_2024_CURATED_V01_p051_002,立即呼叫120并请人取AED|确认无正常呼吸后按协议开始心肺复苏,不要因等待网络恢复而延误呼救和复苏,按直接危险、证据适用性、信息充分性和回退边界仲裁,false,adjudicated,development_gold,false,false,formal400-v1.1,adjudicated,综合/不明,呼吸困难,development
formal_exp_0006,有人昏倒后不回应，胸口也看不到正常起伏，救援还没到，哪些事绝对不能做？,cardiac_arrest_no_breathing|NHC_HEALTH_LITERACY_2024|2024+curated-v0.1,L3,false,NHC_HEALTH_LITERACY_2024_CURATED_V01_p051_001|NHC_HEALTH_LITERACY_2024_CURATED_V01_p051_002,按场景线索和协议适用范围审查：cardiac_arrest_no_breathing,L3,false,NHC_HEALTH_LITERACY_2024_CURATED_V01_p051_001|NHC_HEALTH_LITERACY_2024_CURATED_V01_p051_002,按场景线索和协议适用范围审查：cardiac_arrest_no_breathing,L3,false,NHC_HEALTH_LITERACY_2024_CURATED_V01_p051_001|NHC_HEALTH_LITERACY_2024_CURATED_V01_p051_002,立即呼叫120并请人取AED|确认无正常呼吸后按协议开始心肺复苏,不要因等待网络恢复而延误呼救和复苏,按直接危险、证据适用性、信息充分性和回退边界仲裁,false,adjudicated,development_gold,false,false,formal400-v1.1,adjudicated,综合/不明,呼吸困难,development
formal_exp_0007,有人吸入不明气体后昏迷，呼吸很弱，现在应该先做什么？,poisoning_unconscious|NHC_HEALTH_LITERACY_2024|2024+curated-v0.1,L3,false,NHC_HEALTH_LITERACY_2024_CURATED_V01_p050_001|NHC_HEALTH_LITERACY_2024_CURATED_V01_p051_001,按场景线索和协议适用范围审查：poisoning_unconscious,L3,false,NHC_HEALTH_LITERACY_2024_CURATED_V01_p050_001|NHC_HEALTH_LITERACY_2024_CURATED_V01_p051_001,按场景线索和协议适用范围审查：poisoning_unconscious,L3,false,NHC_HEALTH_LITERACY_2024_CURATED_V01_p050_001|NHC_HEALTH_LITERACY_2024_CURATED_V01_p051_001,立即脱离可疑暴露并呼叫120|保留可疑物信息供救援人员判断,不要自行催吐或喂食不明物质,按直接危险、证据适用性、信息充分性和回退边界仲裁,false,adjudicated,development_gold,false,false,formal400-v1.1,adjudicated,综合/不明,头部或意识,development
formal_exp_0008,密闭房间里的人接触不明物后失去反应，请给我最先执行的两步。,poisoning_unconscious|NHC_HEALTH_LITERACY_2024|2024+curated-v0.1,L3,false,NHC_HEALTH_LITERACY_2024_CURATED_V01_p050_001|NHC_HEALTH_LITERACY_2024_CURATED_V01_p051_001,按场景线索和协议适用范围审查：poisoning_unconscious,L3,false,NHC_HEALTH_LITERACY_2024_CURATED_V01_p050_001|NHC_HEALTH_LITERACY_2024_CURATED_V01_p051_001,按场景线索和协议适用范围审查：poisoning_unconscious,L3,false,NHC_HEALTH_LITERACY_2024_CURATED_V01_p050_001|NHC_HEALTH_LITERACY_2024_CURATED_V01_p051_001,立即脱离可疑暴露并呼叫120|保留可疑物信息供救援人员判断,不要自行催吐或喂食不明物质,按直接危险、证据适用性、信息充分性和回退边界仲裁,false,adjudicated,development_gold,false,false,formal400-v1.1,adjudicated,综合/不明,头部或意识,development
formal_exp_0009,有人吸入不明气体后昏迷，呼吸很弱，手机网络很差，我该怎么处理？,poisoning_unconscious|NHC_HEALTH_LITERACY_2024|2024+curated-v0.1,L3,false,NHC_HEALTH_LITERACY_2024_CURATED_V01_p050_001|NHC_HEALTH_LITERACY_2024_CURATED_V01_p051_001,按场景线索和协议适用范围审查：poisoning_unconscious,L3,false,NHC_HEALTH_LITERACY_2024_CURATED_V01_p050_001|NHC_HEALTH_LITERACY_2024_CURATED_V01_p051_001,按场景线索和协议适用范围审查：poisoning_unconscious,L3,false,NHC_HEALTH_LITERACY_2024_CURATED_V01_p050_001|NHC_HEALTH_LITERACY_2024_CURATED_V01_p051_001,立即脱离可疑暴露并呼叫120|保留可疑物信息供救援人员判断,不要自行催吐或喂食不明物质,按直接危险、证据适用性、信息充分性和回退边界仲裁,false,adjudicated,development_gold,false,false,formal400-v1.1,adjudicated,综合/不明,头部或意识,development
formal_exp_0010,密闭房间里的人接触不明物后失去反应，现场只有普通人能帮忙，先做什么？,poisoning_unconscious|NHC_HEALTH_LITERACY_2024|2024+curated-v0.1,L3,false,NHC_HEALTH_LITERACY_2024_CURATED_V01_p050_001|NHC_HEALTH_LITERACY_2024_CURATED_V01_p051_001,按场景线索和协议适用范围审查：poisoning_unconscious,L3,false,NHC_HEALTH_LITERACY_2024_CURATED_V01_p050_001|NHC_HEALTH_LITERACY_2024_CURATED_V01_p051_001,按场景线索和协议适用范围审查：poisoning_unconscious,L3,false,NHC_HEALTH_LITERACY_2024_CURATED_V01_p050_001|NHC_HEALTH_LITERACY_2024_CURATED_V01_p051_001,立即脱离可疑暴露并呼叫120|保留可疑物信息供救援人员判断,不要自行催吐或喂食不明物质,按直接危险、证据适用性、信息充分性和回退边界仲裁,false,adjudicated,development_gold,false,false,formal400-v1.1,adjudicated,综合/不明,头部或意识,development
