query_id,query_text,source_group_id,reviewer_A_L0_L3,reviewer_A_should_fallback,reviewer_A_evidence_ids,reviewer_A_notes,reviewer_B_L0_L3,reviewer_B_should_fallback,reviewer_B_evidence_ids,reviewer_B_notes,adjudicated_L0_L3,adjudicated_should_fallback,adjudicated_evidence_ids,adjudicated_required_actions,adjudicated_prohibited_actions,adjudication_notes,formal_training_eligible,annotation_status,data_status,final_evaluation_eligible,evidence_gap_flag,annotation_version,evidence_binding_status,disaster_type_label,query_type_label,split_scope
pilot_legacy_boundary_0002,你能帮我做股票分析吗,out_of_scope|NONE|NONE,L0,true,,依据显式线索：out_of_scope,L0,true,,依据显式线索：out_of_scope,L0,true,,说明系统仅处理离线应急查询|建议改用适当的非应急工具,不要把域外请求伪装成应急建议,按否定范围、直接危险优先级和证据适用性仲裁,false,adjudicated,development_gold,false,true,formal96-v1.1,adjudicated,域外,域外,development
pilot_legacy_boundary_0003,你能帮我玩游戏吗,out_of_scope|NONE|NONE,L0,true,,依据显式线索：out_of_scope,L0,true,,依据显式线索：out_of_scope,L0,true,,说明系统仅处理离线应急查询|建议改用适当的非应急工具,不要把域外请求伪装成应急建议,按否定范围、直接危险优先级和证据适用性仲裁,false,adjudicated,development_gold,false,true,formal96-v1.1,adjudicated,域外,域外,development
pilot_legacy_boundary_0004,你能帮我写作业答案吗,out_of_scope|NONE|NONE,L0,true,,依据显式线索：out_of_scope,L0,true,,依据显式线索：out_of_scope,L0,true,,说明系统仅处理离线应急查询|建议改用适当的非应急工具,不要把域外请求伪装成应急建议,按否定范围、直接危险优先级和证据适用性仲裁,false,adjudicated,development_gold,false,true,formal96-v1.1,adjudicated,域外,域外,development
pilot_legacy_clean_0007,灰尘很大，我吸不上气,respiratory_distress|NHC_HEALTH_LITERACY_2024|2024+curated-v0.1,L3,false,NHC_HEALTH_LITERACY_2024_CURATED_V01_p050_001,依据显式线索：respiratory,L3,false,NHC_HEALTH_LITERACY_2024_CURATED_V01_p050_001,依据显式线索：respiratory,L3,false,NHC_HEALTH_LITERACY_2024_CURATED_V01_p050_001,在安全可行时远离烟尘或有害暴露|立即拨打120或请他人呼救,不要因手机低电量延误求救|不要继续停留在烟尘暴露处,按否定范围、直接危险优先级和证据适用性仲裁,false,adjudicated,development_gold,false,false,formal96-v1.1,adjudicated,综合/不明,呼吸困难,development
pilot_legacy_clean_0013,周围烟很多，我吸不上气,respiratory_distress|NHC_HEALTH_LITERACY_2024|2024+curated-v0.1,L3,false,NHC_HEALTH_LITERACY_2024_CURATED_V01_p050_001,依据显式线索：respiratory,L3,false,NHC_HEALTH_LITERACY_2024_CURATED_V01_p050_001,依据显式线索：respiratory,L3,false,NHC_HEALTH_LITERACY_2024_CURATED_V01_p050_001,在安全可行时远离烟尘或有害暴露|立即拨打120或请他人呼救,不要因手机低电量延误求救|不要继续停留在烟尘暴露处,按否定范围、直接危险优先级和证据适用性仲裁,false,adjudicated,development_gold,false,false,formal96-v1.1,adjudicated,综合/不明,呼吸困难,development
pilot_legacy_clean_0023,腿上血止不住,severe_bleeding|MEM_EARTHQUAKE_FIRST_AID_2019+NHC_HEALTH_LITERACY_2024|2019-04-01+curated-v0.1+2024+curated-v0.1,L2,false,NHC_HEALTH_LITERACY_2024_CURATED_V01_p052_001|MEM_EARTHQUAKE_FIRST_AID_2019_CURATED_V01_earthquake_bleeding_fracture_001,依据显式线索：bleeding、severe_bleeding,L2,false,NHC_HEALTH_LITERACY_2024_CURATED_V01_p052_001|MEM_EARTHQUAKE_FIRST_AID_2019_CURATED_V01_earthquake_bleeding_fracture_001,依据显式线索：bleeding、severe_bleeding,L2,false,NHC_HEALTH_LITERACY_2024_CURATED_V01_p052_001|MEM_EARTHQUAKE_FIRST_AID_2019_CURATED_V01_earthquake_bleeding_fracture_001,对出血部位持续直接压迫止血|严重或持续出血时拨打120,不要反复揭开敷料查看出血|不要轻易拔出伤口异物,按否定范围、直接危险优先级和证据适用性仲裁,false,adjudicated,development_gold,false,false,formal96-v1.1,adjudicated,综合/不明,出血/休克,development
pilot_legacy_clean_0024,胳膊上一直流血,general_emergency|MEM_EARTHQUAKE_FIRST_AID_2019+NHC_HEALTH_LITERACY_2024|2019-04-01+curated-v0.1+2024+curated-v0.1,L2,false,NHC_HEALTH_LITERACY_2024_CURATED_V01_p052_001|MEM_EARTHQUAKE_FIRST_AID_2019_CURATED_V01_earthquake_bleeding_fracture_001,依据显式线索：bleeding,L2,false,NHC_HEALTH_LITERACY_2024_CURATED_V01_p052_001|MEM_EARTHQUAKE_FIRST_AID_2019_CURATED_V01_earthquake_bleeding_fracture_001,依据显式线索：bleeding,L2,false,NHC_HEALTH_LITERACY_2024_CURATED_V01_p052_001|MEM_EARTHQUAKE_FIRST_AID_2019_CURATED_V01_earthquake_bleeding_fracture_001,对出血部位持续直接压迫止血|严重或持续出血时拨打120,不要反复揭开敷料查看出血|不要轻易拔出伤口异物,按否定范围、直接危险优先级和证据适用性仲裁,false,adjudicated,development_gold,false,false,formal96-v1.1,adjudicated,综合/不明,综合/不明,development
pilot_legacy_clean_0043,胳膊被扭到，现在很疼,minor_injury|NHC_HEALTH_LITERACY_2024+SHQP_HEAD_TRAUMA_2018|2018-06-21+curated-v0.1+2024+curated-v0.1,L1,false,NHC_HEALTH_LITERACY_2024_CURATED_V01_p052_001|SHQP_HEAD_TRAUMA_2018_CURATED_V01_head_injury_assess_call_no_move_001,依据显式线索：minor_injury,L1,false,NHC_HEALTH_LITERACY_2024_CURATED_V01_p052_001|SHQP_HEAD_TRAUMA_2018_CURATED_V01_head_injury_assess_call_no_move_001,依据显式线索：minor_injury,L1,false,NHC_HEALTH_LITERACY_2024_CURATED_V01_p052_001|SHQP_HEAD_TRAUMA_2018_CURATED_V01_head_injury_assess_call_no_move_001,停止负重并保护伤处|症状加重或功能受限时就医,不要强行活动或现场复位,按否定范围、直接危险优先级和证据适用性仲裁,false,adjudicated,development_gold,false,false,formal96-v1.1,adjudicated,综合/不明,创伤/骨折,development
pilot_legacy_clean_0065,脚被撞到，现在肿了,minor_injury|NHC_HEALTH_LITERACY_2024+SHQP_HEAD_TRAUMA_2018|2018-06-21+curated-v0.1+2024+curated-v0.1,L1,false,NHC_HEALTH_LITERACY_2024_CURATED_V01_p052_001|SHQP_HEAD_TRAUMA_2018_CURATED_V01_head_injury_assess_call_no_move_001,依据显式线索：minor_injury,L1,false,NHC_HEALTH_LITERACY_2024_CURATED_V01_p052_001|SHQP_HEAD_TRAUMA_2018_CURATED_V01_head_injury_assess_call_no_move_001,依据显式线索：minor_injury,L1,false,NHC_HEALTH_LITERACY_2024_CURATED_V01_p052_001|SHQP_HEAD_TRAUMA_2018_CURATED_V01_head_injury_assess_call_no_move_001,停止负重并保护伤处|症状加重或功能受限时就医,不要强行活动或现场复位,按否定范围、直接危险优先级和证据适用性仲裁,false,adjudicated,development_gold,false,false,formal96-v1.1,adjudicated,综合/不明,创伤/骨折,development
pilot_legacy_clean_0068,我手被重物压着,crush_or_entrapment|BJWJW_CRUSH_INJURY_2019+MEM_EARTHQUAKE_FIRST_AID_2019|2019-04-01+curated-v0.1+2019-08-17+curated-v0.1,L2,false,BJWJW_CRUSH_INJURY_2019_CURATED_V01_crush_injury_public_response_001|MEM_EARTHQUAKE_FIRST_AID_2019_CURATED_V01_earthquake_bleeding_fracture_001,依据显式线索：crush,L2,false,BJWJW_CRUSH_INJURY_2019_CURATED_V01_crush_injury_public_response_001|MEM_EARTHQUAKE_FIRST_AID_2019_CURATED_V01_earthquake_bleeding_fracture_001,依据显式线索：crush,L2,false,BJWJW_CRUSH_INJURY_2019_CURATED_V01_crush_injury_public_response_001|MEM_EARTHQUAKE_FIRST_AID_2019_CURATED_V01_earthquake_bleeding_fracture_001,先确认现场和施救安全|呼叫专业救援并说明压迫时长和部位,不要独自强行移开大型重物|不要因没有开放伤口忽视挤压伤,按否定范围、直接危险优先级和证据适用性仲裁,false,adjudicated,development_gold,false,false,formal96-v1.1,adjudicated,综合/不明,挤压,development
