query_id,query_text,legacy_primary_intent,query_type,risk_level_candidate,should_fallback_candidate,machine_candidate_evidence_ids,machine_top_score,evidence_gap_flag,reviewer_A_accepted_evidence_ids,reviewer_A_required_actions,reviewer_A_prohibited_actions,reviewer_A_L0_L3,reviewer_A_should_fallback,reviewer_A_notes,reviewer_B_accepted_evidence_ids,reviewer_B_required_actions,reviewer_B_prohibited_actions,reviewer_B_L0_L3,reviewer_B_should_fallback,reviewer_B_notes,adjudicated_evidence_ids,adjudicated_required_actions,adjudicated_prohibited_actions,adjudicated_L0_L3,adjudicated_should_fallback,adjudicator,final_status
pilot_legacy_clean_0018,手上一直流血,severe_bleeding_or_shock,clean_control,2,false,NHC_HEALTH_LITERACY_2024_CURATED_V01_p052_001|NHC_HEALTH_LITERACY_2024_CURATED_V01_p052_002,34.51041854,false,NHC_HEALTH_LITERACY_2024_CURATED_V01_p052_001,立即止血|根据出血情况采用直接压迫或加压包扎|严重创伤或出血较多时拨打120|伤口有异物时固定异物并交由医生处理,轻易取出伤口异物|忽略持续出血,L2,false,持续出血与第61条直接匹配；不凭短句断言休克或出血量。,NHC_HEALTH_LITERACY_2024_CURATED_V01_p052_001,立即止血|根据出血情况采用直接压迫或加压包扎|严重创伤或出血较多时拨打120|伤口有异物时固定异物并交由医生处理,轻易取出伤口异物|忽略持续出血,L2,false,证据覆盖止血、包扎和严重时求救，足以形成条件性安全回答。,NHC_HEALTH_LITERACY_2024_CURATED_V01_p052_001,立即止血|根据出血情况采用直接压迫或加压包扎|严重创伤或出血较多时拨打120|伤口有异物时固定异物并交由医生处理,轻易取出伤口异物|忽略持续出血,L2,false,项目仲裁,adjudicated
pilot_legacy_neg_0106,我手在流血，不过没有头晕,severe_bleeding_or_shock,negation_conflict,2,false,NHC_HEALTH_LITERACY_2024_CURATED_V01_p052_001|NHC_HEALTH_LITERACY_2024_CURATED_V01_p052_002,35.83987456,false,NHC_HEALTH_LITERACY_2024_CURATED_V01_p052_001,立即止血|根据出血情况采用直接压迫或加压包扎|严重创伤或出血较多时拨打120|伤口有异物时固定异物并交由医生处理,轻易取出伤口异物|忽略持续出血,L2,false,头晕被明确否定，不触发头伤或意识异常路径。,NHC_HEALTH_LITERACY_2024_CURATED_V01_p052_001,立即止血|根据出血情况采用直接压迫或加压包扎|严重创伤或出血较多时拨打120|伤口有异物时固定异物并交由医生处理,轻易取出伤口异物|忽略持续出血,L2,false,正向风险只有持续出血，按第61条处理。,NHC_HEALTH_LITERACY_2024_CURATED_V01_p052_001,立即止血|根据出血情况采用直接压迫或加压包扎|严重创伤或出血较多时拨打120|伤口有异物时固定异物并交由医生处理,轻易取出伤口异物|忽略持续出血,L2,false,项目仲裁,adjudicated
pilot_legacy_neg_0150,我伤口出血，没有发冷,severe_bleeding_or_shock,negation_conflict,2,false,NHC_HEALTH_LITERACY_2024_CURATED_V01_p052_001|NHC_HEALTH_LITERACY_2024_CURATED_V01_p052_002,37.64179733,false,NHC_HEALTH_LITERACY_2024_CURATED_V01_p052_001,立即止血|根据出血情况采用直接压迫或加压包扎|严重创伤或出血较多时拨打120|伤口有异物时固定异物并交由医生处理,轻易取出伤口异物|忽略持续出血,L2,false,发冷被否定，不改变持续出血的直接证据。,NHC_HEALTH_LITERACY_2024_CURATED_V01_p052_001,立即止血|根据出血情况采用直接压迫或加压包扎|严重创伤或出血较多时拨打120|伤口有异物时固定异物并交由医生处理,轻易取出伤口异物|忽略持续出血,L2,false,按出血证据处理，不触发低温路径。,NHC_HEALTH_LITERACY_2024_CURATED_V01_p052_001,立即止血|根据出血情况采用直接压迫或加压包扎|严重创伤或出血较多时拨打120|伤口有异物时固定异物并交由医生处理,轻易取出伤口异物|忽略持续出血,L2,false,项目仲裁,adjudicated
pilot_legacy_clean_0031,腿被砸到，现在很疼,trauma_or_fracture,clean_control,1,false,NHC_HEALTH_LITERACY_2024_CURATED_V01_p052_001|MEM_EARTHQUAKE_FIRST_AID_2019_CURATED_V01_earthquake_bleeding_fracture_001|NHC_HEALTH_LITERACY_2024_CURATED_V01_p052_002,35.41961444,false,NHC_HEALTH_LITERACY_2024_CURATED_V01_p052_001,保持伤处稳定|怀疑骨折时避免随意搬动|严重创伤时拨打120,在现场自行复位|随意移动受伤部位,L1,false,有明确砸伤机制，第61条覆盖疑似骨折的稳定和禁忌。,NHC_HEALTH_LITERACY_2024_CURATED_V01_p052_001,保持伤处稳定|怀疑骨折时避免随意搬动|严重创伤时拨打120,在现场自行复位|随意移动受伤部位,L1,false,没有严重征象，保留严重时拨打120的条件分支。,NHC_HEALTH_LITERACY_2024_CURATED_V01_p052_001,保持伤处稳定|怀疑骨折时避免随意搬动|严重创伤时拨打120,在现场自行复位|随意移动受伤部位,L1,false,项目仲裁,adjudicated
pilot_legacy_neg_0222,我腿疼，但不是被压住,trauma_or_fracture,negation_conflict,1,false,NHC_HEALTH_LITERACY_2024_CURATED_V01_p052_001|MEM_EARTHQUAKE_FIRST_AID_2019_CURATED_V01_earthquake_bleeding_fracture_001|NHC_HEALTH_LITERACY_2024_CURATED_V01_p052_002,36.00410577,false,NHC_HEALTH_LITERACY_2024_CURATED_V01_p052_001,询问受伤机制、肿胀变形和活动情况|怀疑骨折时保持伤处稳定|严重创伤时拨打120,只凭疼痛断言骨折|在现场自行复位,L1,true,只有腿疼且明确否认受压，需补充受伤机制后再确定适用动作。,NHC_HEALTH_LITERACY_2024_CURATED_V01_p052_001,询问受伤机制、肿胀变形和活动情况|怀疑骨折时保持伤处稳定|严重创伤时拨打120,只凭疼痛断言骨折|在现场自行复位,L1,true,证据只能提供条件分支，仍需澄清受伤机制。,NHC_HEALTH_LITERACY_2024_CURATED_V01_p052_001,询问受伤机制、肿胀变形和活动情况|怀疑骨折时保持伤处稳定|严重创伤时拨打120,只凭疼痛断言骨折|在现场自行复位,L1,true,项目仲裁,adjudicated
pilot_legacy_neg_0200,我脚踝疼，不是没吃的,trauma_or_fracture,negation_conflict,1,false,NHC_HEALTH_LITERACY_2024_CURATED_V01_p052_001|MEM_EARTHQUAKE_FIRST_AID_2019_CURATED_V01_earthquake_bleeding_fracture_001|NHC_HEALTH_LITERACY_2024_CURATED_V01_p052_002,35.46380845,false,NHC_HEALTH_LITERACY_2024_CURATED_V01_p052_001,询问受伤机制、肿胀变形和活动情况|怀疑骨折时保持伤处稳定|严重创伤时拨打120,只凭疼痛断言骨折|在现场自行复位,L1,true,脚踝疼没有受伤机制；否认没吃东西只抑制资源匮乏路径。,NHC_HEALTH_LITERACY_2024_CURATED_V01_p052_001,询问受伤机制、肿胀变形和活动情况|怀疑骨折时保持伤处稳定|严重创伤时拨打120,只凭疼痛断言骨折|在现场自行复位,L1,true,可给条件建议，但脚踝疼的原因和严重程度仍需澄清。,NHC_HEALTH_LITERACY_2024_CURATED_V01_p052_001,询问受伤机制、肿胀变形和活动情况|怀疑骨折时保持伤处稳定|严重创伤时拨打120,只凭疼痛断言骨折|在现场自行复位,L1,true,项目仲裁,adjudicated
pilot_legacy_clean_0074,我头晕想吐,altered_consciousness_or_head_injury,clean_control,2,false,SHQP_HEAD_TRAUMA_2018_CURATED_V01_head_injury_red_flags_001|SHQP_HEAD_TRAUMA_2018_CURATED_V01_head_scalp_bleeding_001|BJWJW_CRUSH_INJURY_2019_CURATED_V01_crush_injury_public_response_001,19.11288042,false,NHC_HEALTH_LITERACY_2024_CURATED_V01_p050_001,询问是否头部受击、意识异常及症状是否加重|若确认头部外伤，避免随意搬动|出现昏迷、频繁呕吐或症状加重时立即拨打120|求救时准确报告位置和主要情况,在信息不足时给出确定性诊断|把地震避险条款当作头部损伤处置|对疑似颅脑损伤者随意搬动,L2,true,未说明头部受击；专门头伤证据只能条件适用，先澄清受伤机制、意识和症状进展。,SHQP_HEAD_TRAUMA_2018_CURATED_V01_head_injury_red_flags_001|NHC_HEALTH_LITERACY_2024_CURATED_V01_p050_001,询问是否头部受击、意识异常及症状是否加重|若确认头部外伤，避免随意搬动|出现昏迷、频繁呕吐或症状加重时立即拨打120|求救时准确报告位置和主要情况,在信息不足时给出确定性诊断|把地震避险条款当作头部损伤处置|对疑似颅脑损伤者随意搬动,L2,true,头晕想吐与头伤危险征象相似，但缺少外伤前提；保留条件证据并回退澄清。,NHC_HEALTH_LITERACY_2024_CURATED_V01_p050_001,询问是否头部受击、意识异常及症状是否加重|若确认头部外伤，避免随意搬动|出现昏迷、频繁呕吐或症状加重时立即拨打120|求救时准确报告位置和主要情况,在信息不足时给出确定性诊断|把地震避险条款当作头部损伤处置|对疑似颅脑损伤者随意搬动,L2,true,项目仲裁,adjudicated
pilot_legacy_clean_0078,头被砸到，现在很晕,altered_consciousness_or_head_injury,clean_control,2,false,SHQP_HEAD_TRAUMA_2018_CURATED_V01_head_injury_red_flags_001|BJWJW_CRUSH_INJURY_2019_CURATED_V01_crush_injury_public_response_001|NHC_HEALTH_LITERACY_2024_CURATED_V01_p050_001,15.98178652,false,SHQP_HEAD_TRAUMA_2018_CURATED_V01_head_injury_red_flags_001|NHC_HEALTH_LITERACY_2024_CURATED_V01_p050_001,询问是否头部受击、意识异常及症状是否加重|若确认头部外伤，避免随意搬动|出现昏迷、频繁呕吐或症状加重时立即拨打120|求救时准确报告位置和主要情况,在信息不足时给出确定性诊断|把地震避险条款当作头部损伤处置|对疑似颅脑损伤者随意搬动,L2,false,头部砸伤与明显眩晕满足专门头伤证据的适用前提，并由通用急症呼救条款补充升级条件。,SHQP_HEAD_TRAUMA_2018_CURATED_V01_head_injury_red_flags_001,询问是否头部受击、意识异常及症状是否加重|若确认头部外伤，避免随意搬动|出现昏迷、频繁呕吐或症状加重时立即拨打120|求救时准确报告位置和主要情况,在信息不足时给出确定性诊断|把地震避险条款当作头部损伤处置|对疑似颅脑损伤者随意搬动,L2,false,专门来源已覆盖头伤后危险征象和尽快就医，无需再以证据缺口为由回退。,SHQP_HEAD_TRAUMA_2018_CURATED_V01_head_injury_red_flags_001|NHC_HEALTH_LITERACY_2024_CURATED_V01_p050_001,询问是否头部受击、意识异常及症状是否加重|若确认头部外伤，避免随意搬动|出现昏迷、频繁呕吐或症状加重时立即拨打120|求救时准确报告位置和主要情况,在信息不足时给出确定性诊断|把地震避险条款当作头部损伤处置|对疑似颅脑损伤者随意搬动,L2,false,项目仲裁,adjudicated
pilot_legacy_clean_0005,灰尘很大，我喘不上气,respiratory_distress,clean_control,3,false,NHC_HEALTH_LITERACY_2024_CURATED_V01_p053_001|NHC_HEALTH_LITERACY_2024_CURATED_V01_p050_001|BJWJW_HYPOTHERMIA_2022_CURATED_V01_hypothermia_public_first_aid_001,17.31911198,false,NHC_HEALTH_LITERACY_2024_CURATED_V01_p050_001,立即拨打120|准确报告所在位置和呼吸困难情况|保持电话畅通,把烟尘或受压导致的呼吸困难当作气道异物|在病因不明时实施腹部冲击法,L3,false,呼吸困难属于第50页列明的急危重表现；烟尘不是气道异物。,NHC_HEALTH_LITERACY_2024_CURATED_V01_p050_001|NHC_HEALTH_LITERACY_2024_CURATED_V01_p049_001,立即拨打120|准确报告所在位置和呼吸困难情况|保持电话畅通,把烟尘或受压导致的呼吸困难当作气道异物|在病因不明时实施腹部冲击法,L3,false,两段共同支持立即拨打120。,NHC_HEALTH_LITERACY_2024_CURATED_V01_p050_001,立即拨打120|准确报告所在位置和呼吸困难情况|保持电话畅通,把烟尘或受压导致的呼吸困难当作气道异物|在病因不明时实施腹部冲击法,L3,false,项目仲裁,adjudicated
pilot_legacy_multi_0107,重物压着肚子，我吸不上气,respiratory_distress,multi_intent,3,false,NHC_HEALTH_LITERACY_2024_CURATED_V01_p053_001|NHC_HEALTH_LITERACY_2024_CURATED_V01_p050_001|BJWJW_HYPOTHERMIA_2022_CURATED_V01_hypothermia_public_first_aid_001,26.0216528,false,NHC_HEALTH_LITERACY_2024_CURATED_V01_p050_001,立即拨打120|准确报告所在位置和呼吸困难情况|保持电话畅通,把烟尘或受压导致的呼吸困难当作气道异物|在病因不明时实施腹部冲击法,L3,false,受压并吸不上气是即时危险；现有证据直接支持求救。,NHC_HEALTH_LITERACY_2024_CURATED_V01_p050_001|NHC_HEALTH_LITERACY_2024_CURATED_V01_p049_001,立即拨打120|准确报告所在位置和呼吸困难情况|保持电话畅通,把烟尘或受压导致的呼吸困难当作气道异物|在病因不明时实施腹部冲击法,L3,false,优先呼吸困难路径，压迫机制写入求救信息。,NHC_HEALTH_LITERACY_2024_CURATED_V01_p050_001,立即拨打120|准确报告所在位置和呼吸困难情况|保持电话畅通,把烟尘或受压导致的呼吸困难当作气道异物|在病因不明时实施腹部冲击法,L3,false,项目仲裁,adjudicated
